Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
2026-03-16 1:30 AM,57,$3570.00,$560.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$105.00,$560.00,$0.00,n/a,
2026-03-16 8:04 PM,58,$3855.00,$285.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$10.00,$380.00,$95.00,n/a,
2026-03-16 10:54 PM,59,$3735.00,-$120.00,n/a,n/a,$0.00,-$120.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$10.00,$130.00,n/a,
2026-03-16 11:21 PM,60,$4285.00,$550.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$0.00,$550.00,$0.00,n/a,
2026-03-16 11:42 PM,61,$4185.00,-$100.00,n/a,n/a,$0.00,-$100.00,-$100.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$100.00,$0.00,$100.00,n/a,
2026-03-17 12:06 AM,62,$4195.00,$10.00,n/a,n/a,$0.00,-$90.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$85.00,$15.00,$5.00,n/a,
2026-03-17 12:10 AM,63,$4095.00,-$100.00,n/a,n/a,$0.00,-$190.00,-$100.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$100.00,$25.00,$125.00,n/a,
2026-03-17 8:34 PM,64,$4340.00,$245.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$5.00,$295.00,$50.00,n/a,
2026-03-17 8:53 PM,65,$4650.00,$310.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$0.00,$365.00,$55.00,n/a,
2026-03-17 9:04 PM,66,$4530.00,-$120.00,n/a,n/a,$0.00,-$120.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$45.00,$165.00,n/a,
2026-03-17 11:17 PM,67,$4410.00,-$120.00,n/a,n/a,$0.00,-$240.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$20.00,$140.00,n/a,
2026-03-18 9:45 PM,68,$4290.00,-$120.00,n/a,n/a,$0.00,-$360.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$70.00,$190.00,n/a,
2026-03-18 9:54 PM,69,$4190.00,-$100.00,n/a,n/a,$0.00,-$460.00,-$100.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$100.00,$210.00,$310.00,n/a,
2026-03-19 6:58 PM,70,$4495.00,$305.00,n/a,n/a,$0.00,-$155.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$60.00,$305.00,$0.00,n/a,
2026-03-19 8:20 PM,71,$4390.00,-$105.00,n/a,n/a,$0.00,-$260.00,-$105.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$105.00,$195.00,$300.00,n/a,
2026-03-19 8:40 PM,72,$4290.00,-$100.00,n/a,n/a,$0.00,-$360.00,-$100.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$100.00,$160.00,$260.00,n/a,
2026-03-22 8:34 PM,73,$4155.00,-$135.00,n/a,n/a,$0.00,-$495.00,-$135.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$135.00,$75.00,$210.00,n/a,
2026-03-22 10:25 PM,74,$4035.00,-$120.00,n/a,n/a,$0.00,-$615.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$90.00,$210.00,n/a,
2026-03-23 11:56 PM,75,$3915.00,-$120.00,n/a,n/a,$0.00,-$735.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$210.00,$330.00,n/a,
2026-03-24 12:57 AM,76,$3815.00,-$100.00,n/a,n/a,$0.00,-$835.00,-$100.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$100.00,$190.00,$290.00,n/a,
2026-03-24 8:16 PM,77,$3695.00,-$120.00,n/a,n/a,$0.00,-$955.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$155.00,$275.00,n/a,
2026-03-24 9:13 PM,78,$3560.00,-$135.00,n/a,n/a,$0.00,-$1090.00,-$135.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$135.00,$10.00,$145.00,n/a,
2026-03-25 8:34 PM,79,$3440.00,-$120.00,n/a,n/a,$0.00,-$1210.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$0.00,$120.00,n/a,
2026-03-25 8:50 PM,80,$3710.00,$270.00,n/a,n/a,$0.00,-$940.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$65.00,$320.00,$50.00,n/a,
